time,date,run,ahu1_fan_power,ahu1_heat_power,ahu2_heat_power,ch1_power,ahu2_fan_power,dx_c1_power,ch2_power,dx_c2_power,exf1_power,exf2_power,oau_fan_power,oau_heat_power,pump1_power,pump2_power,pump4_power,pump5_power,pump3_power,vav1_heat_power,vav2_heat_power,vav3_heat_power,vav4_heat_power,zs1_heat_power,zs2_heat_power,zs3_heat_power,zs4_heat_power
2023-11-22 11:54:41.007000-05:00,2023-11-22,1,2.00324,1.981941,1.989445,1.0007,2.002063,0.000906797415,1.000698,0.000858491893,1.010989,2.013386,1.999521,0.000858491893,1.006914,0.994238387,2.013344,2.005633,1.008764,2.003439,2.015439,2.015416,2.009274,2.011763,2.010826,2.019016,2.019371
2023-11-22 11:54:51.007000-05:00,2023-11-22,1,2.006446,1.982499,1.9901,1.002803,2.007661,0.000922899256,0.993063356,0.000874593734,1.009504,2.012179,1.999198,0.000874593734,1.011548,1.009448,2.014083,2.011196,1.011288,2.014939,2.016695,2.010563,2.017243,2.017659,2.016021,2.019795,2.013065
2023-11-22 11:55:01.007000-05:00,2023-11-22,1,2.006614,1.981984,1.989529,0.991318191,2.011171,0.000842390053,0.998701518,0.000842390053,1.008401,2.016142,1.998941,0.000906797415,0.986728528,1.008665,2.013397,2.014508,1.000441,2.015378,2.004408,2.015435,2.014647,2.015343,2.018563,2.019353,2.015821
2023-11-22 11:55:11.007000-05:00,2023-11-22,1,2.004299,1.982419,1.99002,0.992449161,2.010751,0.000955102937,0.99924457,0.000971204778,1.009631,2.015919,1.997297,0.000858491893,1.009694,1.00809,2.01393,2.014178,1.009834,2.015895,2.009532,2.014595,2.017875,2.020089,2.018255,2.01978,2.015463
2023-11-22 11:55:21.007000-05:00,2023-11-22,1,2.002638,1.982395,1.989969,0.991652703,2.010801,0.000955102937,0.999148738,0.000794084531,1.009663,2.016204,1.996138,0.001035612,1.009726,1.008074,2.014049,2.014383,1.009467,2.015862,2.000444,2.01496,2.017877,2.020228,2.018423,2.019775,2.015538
2023-11-22 11:55:31.007000-05:00,2023-11-22,1,2.013243,1.982489,1.99011,0.995969504,2.008965,0.000939001097,0.998621657,0.000955102937,1.009232,2.013976,1.999134,0.000826288212,0.983532152,1.008537,2.014205,2.012617,1.012214,2.015979,2.016711,2.012465,2.017925,2.018824,2.017015,2.019902,2.013805
2023-11-22 11:55:41.007000-05:00,2023-11-22,1,2.01231,1.982483,1.990112,0.99037837,2.009041,0.000955102937,0.999020961,0.000906797415,1.009392,2.014125,1.996331,0.000906797415,1.010062,1.007866,2.014071,2.01246,1.012901,2.015999,2.016711,2.012536,2.017931,2.018916,2.017107,2.019903,2.013837
2023-11-22 11:55:51.007000-05:00,2023-11-22,1,2.003868,1.982385,1.99007,0.997578349,2.010458,0.000906797415,0.997934856,0.000858491893,1.008241,2.015685,1.998393,0.000955102937,1.007537,1.009927,2.013927,2.01387,1.006431,2.015928,2.016403,2.014241,2.017929,2.019943,2.018077,2.01987,2.015236
2023-11-22 11:56:01.008000-05:00,2023-11-22,1,2.003968,1.981624,1.989272,1.00129,2.011465,0.000939001097,0.998781379,0.000794084531,1.008689,2.015902,2.000713,0.000890695575,1.008608,1.011461,2.01308,2.01396,1.011703,2.015033,2.008636,2.015641,2.010008,2.009339,2.018614,2.018978,2.016353
2023-11-22 11:56:11.007000-05:00,2023-11-22,1,2.010565,1.982509,1.99012,0.999983651,2.008603,0.000874593734,0.999532069,0.000858491893,1.009887,2.013424,2.001131,0.000987306619,1.009982,1.011429,2.014118,2.012243,1.006287,2.015709,2.01671,2.011855,2.017762,2.018467,2.016673,2.019844,2.013596
2023-11-22 11:56:21.007000-05:00,2023-11-22,1,2.008936,1.981996,1.989549,1.000334,2.002168,0.000890695575,1.001353,0.000906797415,1.011389,2.014275,2.000616,0.000874593734,1.00685,0.987783859,2.013423,2.005917,1.006351,2.004128,2.015746,2.016203,2.009821,2.011973,2.010961,2.019026,2.019501
2023-11-22 11:56:31.007000-05:00,2023-11-22,1,2.003099,1.982368,1.989991,1.001465,2.0107,0.000858491893,1.00065,0.000971204778,1.010542,2.015997,1.999424,0.000906797415,1.009934,1.00138,2.013773,2.014339,1.009946,2.015797,2.005864,2.014719,2.017789,2.020132,2.018299,2.01971,2.015422
